GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,team,team_id,players_list,PLAYERS_EXTRACTED,LINEUP_SCORING_TALENT,LINEUP_PLAYMAKING_TALENT,LINEUP_REBOUNDING_TALENT,LINEUP_DEFENSIVE_TALENT,LINEUP_NET_RATING_TALENT
Lineups,-202692-1628963-1628995-1630595-1641709-,A. Burks - M. Bagley III - K. Knox II - C. Cunningham - A. Thompson,3,0,3,0.0,6.178333,4,12,0.333,1,4,0.25,0,0,0.0,1,4,5,2,1.0,0,0,2,3,1,9,-9.0,71,232,964,232,154,193,132,483,189,151,323,400,421,400,154,150,164,224,613,284,228,989,901,272,254,1029,18535,Detroit Pistons,1610612765,"['A. Burks', 'M. Bagley III', 'K. Knox II', 'C. Cunningham', 'A. Thompson']","['a. burks', 'm. bagley iii', 'k. knox ii', 'c. cunningham', 'a. thompson']",0.0899542499999999,2.5,5.65,1.625,11.274999999999997
Lineups,-1630164-1631093-1631204-1631205-1641787-,J. Wiseman - J. Ivey - M. Sasser - B. Boeheim - T. Evbuomwan,2,0,2,0.0,6.133333,4,13,0.308,2,7,0.286,4,4,1.0,1,9,10,3,1.0,0,1,1,2,2,14,0.0,154,232,771,232,155,193,120,546,92,76,307,70,102,1,154,54,74,152,613,284,63,814,776,167,156,275,18400,Detroit Pistons,1610612765,"['J. Wiseman', 'J. Ivey', 'M. Sasser', 'B. Boeheim', 'T. Evbuomwan']","['j. wiseman', 'j. ivey', 'm. sasser', 'b. boeheim', 't. evbuomwan']",0.0,0.0,0.0,0.0,0.0
Lineups,-203095-1628972-1629002-1630201-1631197-,E. Fournier - T. Brown Jr. - C. Metu - M. Flynn - J. Rhoden,1,0,1,0.0,6.1,5,10,0.5,2,3,0.667,0,0,0.0,0,4,4,3,3.0,2,1,0,1,2,12,-3.0,362,232,115,232,156,150,165,241,92,206,97,400,421,400,334,150,208,152,956,46,63,1,545,167,188,817,18300,Detroit Pistons,1610612765,"['E. Fournier', 'T. Brown Jr.', 'C. Metu', 'M. Flynn', 'J. Rhoden']","['e. fournier', 't. brown jr.', 'c. metu', 'm. flynn', 'j. rhoden']",0.0948,1.1,6.8,1.7000000000000002,0.0
Lineups,-202692-202711-1630191-1631204-1641709-,A. Burks - B. Bogdanovic - I. Stewart - M. Sasser - A. Thompson,2,1,1,0.5,6.05,3,8,0.375,2,4,0.5,2,2,1.0,1,5,6,3,3.0,0,0,0,2,1,10,-2.0,154,23,115,118,157,253,217,461,92,151,131,169,201,1,154,119,134,152,956,284,228,1,776,272,232,738,18150,Detroit Pistons,1610612765,"['A. Burks', 'B. Bogdanovic', 'I. Stewart', 'M. Sasser', 'A. Thompson']","['a. burks', 'b. bogdanovic', 'i. stewart', 'm. sasser', 'a. thompson']",0.0453173333333333,1.0,2.766666666666667,0.4333333333333333,15.133333333333326
Lineups,-202711-1630191-1630587-1630595-1641709-,B. Bogdanovic - I. Stewart - I. Livers - C. Cunningham - A. Thompson,4,0,4,0.0,5.986667,4,10,0.4,1,4,0.25,1,2,0.5,3,3,6,2,2.0,1,0,0,2,1,10,-6.0,39,232,1029,232,158,193,165,425,189,151,323,302,201,323,58,199,134,224,857,111,228,1,776,272,232,966,17960,Detroit Pistons,1610612765,"['B. Bogdanovic', 'I. Stewart', 'I. Livers', 'C. Cunningham', 'A. Thompson']","['b. bogdanovic', 'i. stewart', 'i. livers', 'c. cunningham', 'a. thompson']",0.01662,1.0,2.5,0.4499999999999999,3.3499999999999943
Lineups,-1628972-1629002-1630164-1630201-1631204-,T. Brown Jr. - C. Metu - J. Wiseman - M. Flynn - M. Sasser,2,0,2,0.0,5.916667,6,11,0.545,2,3,0.667,3,3,1.0,3,4,7,2,2.0,1,0,2,1,3,17,3.0,154,232,771,232,159,122,152,222,92,206,97,121,165,1,58,150,115,224,857,111,228,989,545,105,125,118,17750,Detroit Pistons,1610612765,"['T. Brown Jr.', 'C. Metu', 'J. Wiseman', 'M. Flynn', 'M. Sasser']","['t. brown jr.', 'c. metu', 'j. wiseman', 'm. flynn', 'm. sasser']",0.0948,1.1,6.8,1.7000000000000002,0.0
Lineups,-203095-1630595-1631105-1631323-1641709-,E. Fournier - C. Cunningham - J. Duren - S. Fontecchio - A. Thompson,5,1,4,0.2,5.883333,6,11,0.545,2,6,0.333,0,1,0.0,1,4,5,4,1.0,2,1,1,4,0,14,5.0,16,23,1029,217,160,122,152,222,92,97,261,400,370,400,154,150,164,110,613,46,63,814,962,498,156,65,17650,Detroit Pistons,1610612765,"['E. Fournier', 'C. Cunningham', 'J. Duren', 'S. Fontecchio', 'A. Thompson']","['e. fournier', 'c. cunningham', 'j. duren', 's. fontecchio', 'a. thompson']",0.00666,1.0,2.0,0.6,14.299999999999995
Lineups,-203095-1630191-1631093-1631204-1631323-,E. Fournier - I. Stewart - J. Ivey - M. Sasser - S. Fontecchio,3,1,2,0.333,5.883333,5,12,0.417,2,6,0.333,4,4,1.0,2,2,4,4,2.0,1,0,1,1,2,16,6.0,71,23,771,173,160,150,132,417,92,97,261,70,102,1,87,286,208,110,857,111,228,814,545,167,135,47,17650,Detroit Pistons,1610612765,"['E. Fournier', 'I. Stewart', 'J. Ivey', 'M. Sasser', 'S. Fontecchio']","['e. fournier', 'i. stewart', 'j. ivey', 'm. sasser', 's. fontecchio']",0.0,0.0,0.0,0.0,0.0
Lineups,-202692-203925-1630164-1631204-1641709-,A. Burks - J. Harris - J. Wiseman - M. Sasser - A. Thompson,2,1,1,0.5,5.833333,5,8,0.625,0,3,0.0,0,0,0.0,0,3,3,3,2.0,0,4,0,1,4,10,-6.0,154,23,115,118,162,150,217,158,385,206,385,400,421,400,334,199,257,152,857,284,9,1,545,67,232,966,17500,Detroit Pistons,1610612765,"['A. Burks', 'J. Harris', 'J. Wiseman', 'M. Sasser', 'A. Thompson']","['a. burks', 'j. harris', 'j. wiseman', 'm. sasser', 'a. thompson']",0.0518173333333333,1.1666666666666667,4.166666666666667,0.5666666666666668,17.466666666666658
Lineups,-202692-1630165-1630587-1630649-1631105-,A. Burks - K. Hayes - I. Livers - S. Umude - J. Duren,1,0,1,0.0,5.815,3,9,0.333,1,1,1.0,2,2,1.0,1,4,5,1,4.0,1,2,0,4,1,9,-8.0,362,232,115,232,163,253,191,483,189,408,1,169,201,1,154,150,164,344,997,111,31,1,962,272,254,1010,17445,Detroit Pistons,1610612765,"['A. Burks', 'K. Hayes', 'I. Livers', 'S. Umude', 'J. Duren']","['a. burks', 'k. hayes', 'i. livers', 's. umude', 'j. duren']",0.0516169999999999,0.65,3.15,0.2,13.449999999999996
Lineups,-203925-1628963-1630165-1631093-1631204-,J. Harris - M. Bagley III - K. Hayes - J. Ivey - M. Sasser,2,0,2,0.0,5.803333,5,12,0.417,2,5,0.4,0,0,0.0,1,5,6,3,2.0,1,1,1,3,1,12,1.0,154,232,771,232,164,150,132,417,92,122,226,400,421,400,154,119,134,152,857,111,63,814,901,272,188,228,17410,Detroit Pistons,1610612765,"['J. Harris', 'M. Bagley III', 'K. Hayes', 'J. Ivey', 'M. Sasser']","['j. harris', 'm. bagley iii', 'k. hayes', 'j. ivey', 'm. sasser']",0.0338956666666666,1.3666666666666665,5.566666666666666,1.1666666666666667,-9.800000000000002
